object,,,,,,
位置 X軸, Y軸, Z軸, 回転 X軸, Y軸, Z軸, タイプ
-9171.62,85,-8502.97,0,0,0,0
-9038.53,85,-8374.03,0,0,0,0
-9008.94,85,-7601.69,0,0,0,0
-7917.21,85,-9222.04,0,0,0,0
-8743.72,85,-8180.45,0,0,0,0
-9260.36,85,-8251.41,0,0,0,0
-9014.95,85,-8694.37,0,0,0,0
-9160.26,85,-8230.53,0,0,0,0
-8242.13,85,-9054.76,0,0,0,0
-8434.87,85,-8523.26,0,0,0,0
-9086.77,85,-8408.09,0,0,0,0
-9426.51,85,-8415.53,0,0,0,0
-7975.3,85,-8331.71,0,0,0,0
-9110.91,85,-8271.99,0,0,0,0
-8018.36,85,-9327.02,0,0,0,0
-7721.4,85,-9714.77,0,0,0,0
-8475.12,85,-9178.85,0,0,0,0
-9087.5,85,-8398.52,0,0,0,0
-8290.71,85,-9137,0,0,0,0
-8731.92,85,-9900.35,0,0,0,0
-8495.78,85,-9344.85,0,0,0,0
-9753.14,85,-8145.61,0,0,0,0
-8634.03,85,-8937.99,0,0,0,0
-8322.31,85,-8884.33,0,0,0,0
-8614.57,85,-9457.61,0,0,0,0
-9632.13,85,-8731.75,0,0,0,0
-8243.99,85,-8566.48,0,0,0,0
-8685.75,85,-8597.33,0,0,0,0
-9843.31,85,-8261.03,0,0,0,0
-9507.26,85,-5406.67,0,0,0,0
-9889.34,85,-7121.89,0,0,0,0
-7652.03,85,-7480.28,0,0,0,0
-9312.93,85,-7181.09,0,0,0,0
-9564.6,85,-7117.34,0,0,0,0
-9035.82,85,-7255.44,0,0,0,0
-8208.75,85,-7112.24,0,0,0,0
-9236.71,85,-7153.85,0,0,0,0
-9608.99,85,-7634.63,0,0,0,0
-9643.32,85,-6421.05,0,0,0,0
-9479.54,85,-6274.28,0,0,0,0
-9890.69,85,-6388.76,0,0,0,0
-7642.21,85,-7336.46,0,0,0,0
-8952.96,85,-7211.93,0,0,0,0
-9507.3,85,-7806.51,0,0,0,0
-8838.77,85,-7221.29,0,0,0,0
-9128.09,85,-7622.37,0,0,0,0
-9029.67,85,-5784.41,0,0,0,0
-9822.79,85,-6962.28,0,0,0,0
-8395.31,85,-8268.92,0,0,0,0
-9411.87,85,-7065.51,0,0,0,0
-8835.56,85,-7823.21,0,0,0,0
-8279.08,85,-7099.69,0,0,0,0
-8773.85,85,-5978.03,0,0,0,0
-10301.62,85,-7280.49,0,0,0,0
-9775.66,85,-5746.31,0,0,0,0
