object
位置 X軸, Y軸, Z軸, タイプ
-9171.62, 120.00, -8502.97, 0
-9038.53, 120.00, -8374.03, 0
-9008.94, 130.00, -7601.69, 0
-7917.21, 115.00, -9222.04, 0
-8743.72, 125.00, -8180.45, 0
-9260.36, 120.00, -8251.41, 0
-9014.95, 120.00, -8694.37, 0
-9160.26, 120.92, -8230.53, 0
-8242.13, 115.00, -9054.76, 0
-8434.87, 125.00, -8523.26, 0
-9086.77, 120.00, -8408.09, 0
-9426.51, 120.00, -8415.53, 0
-7975.30, 130.00, -8331.71, 0
-9110.91, 121.71, -8271.99, 0
-8018.36, 115.00, -9327.02, 0
-7721.40, 115.00, -9714.77, 0
-8475.12, 115.00, -9178.85, 0
-9087.50, 120.00, -8398.52, 0
-8290.71, 115.00, -9137.00, 0
-8731.92, 110.00, -9900.35, 0
-8495.78, 115.00, -9344.85, 0
-9753.14, 120.00, -8145.61, 0
-8634.03, 120.00, -8937.99, 0
-8322.31, 120.00, -8884.33, 0
-8614.57, 110.00, -9457.61, 0
-9632.13, 115.00, -8731.75, 0
-8243.99, 125.00, -8566.48, 0
-8685.75, 120.00, -8597.33, 0
-9843.31, 120.00, -8261.03, 0
-9507.26, 145.00, -5406.67, 0
-9889.34, 130.00, -7121.89, 0
-7652.03, 145.00, -7480.28, 0
-9312.93, 135.60, -7181.09, 0
-9564.60, 135.00, -7117.34, 0
-9035.82, 140.00, -7255.44, 0
-8208.75, 145.00, -7112.24, 0
-9236.71, 140.00, -7153.85, 0
-9608.99, 125.00, -7634.63, 0
-9643.32, 140.00, -6421.05, 0
-9479.54, 145.00, -6274.28, 0
-9890.69, 140.00, -6388.76, 0
-7642.21, 145.00, -7336.46, 0
-8952.96, 140.00, -7211.93, 0
-9507.30, 125.00, -7806.51, 0
-8838.77, 140.00, -7221.29, 0
-9128.09, 129.95, -7622.37, 0
-9029.67, 145.00, -5784.41, 0
-9822.79, 135.00, -6962.28, 0
-8395.31, 125.00, -8268.92, 0
-9411.87, 140.00, -7065.51, 0
-8835.56, 130.00, -7823.21, 0
-8279.08, 145.00, -7099.69, 0
-8773.85, 145.00, -5978.03, 0
-10301.62, 120.00, -7280.49, 0
-9775.66, 145.00, -5746.31, 0
-9936.08, 133.85, -6925.41, 0
-9769.34, 140.00, -6667.14, 0
-9817.50, 135.00, -6770.45, 0
-10699.94, 120.00, -7457.70, 0
-10312.29, 125.00, -7065.13, 0
-10367.35, 135.00, -6369.22, 0
-9292.16, 145.00, -5800.59, 0
-8573.25, 138.18, -7668.25, 0
-9563.53, 135.00, -7174.37, 0
-10657.39, 120.00, -6916.66, 0
-9994.14, 130.00, -6919.17, 0
-9348.50, 136.89, -7132.64, 0
-9123.35, 140.00, -7177.72, 0
-9627.96, 120.00, -7922.64, 0
-9545.76, 135.00, -7294.85, 0
-8341.43, 130.00, -8175.38, 0
-9809.31, 125.00, -7448.39, 0
-9533.98, 140.00, -6803.98, 0
-9569.63, 135.00, -7028.09, 0
-10269.72, 145.00, -4709.11, 0
-9509.71, 155.00, -3890.11, 0
-9313.84, 145.00, -6290.89, 0
-10330.22, 144.31, -5326.67, 0
-9702.85, 150.00, -4652.50, 0
-10305.89, 145.00, -5076.24, 0
-11166.39, 139.20, -5041.62, 0
-9911.00, 145.00, -5797.97, 0
-9634.06, 145.00, -5597.42, 0
-9029.64, 150.00, -5117.80, 0
-10256.03, 145.00, -5395.35, 0
-9112.78, 155.00, -4543.57, 0
-10229.20, 145.00, -4786.78, 0
-9183.83, 150.00, -5073.43, 0
-10604.51, 145.00, -4476.29, 0
-9884.89, 155.00, -3902.14, 0
-9999.66, 140.00, -5904.08, 0
-9090.59, 145.00, -5816.09, 0
-9343.24, 145.00, -5628.47, 0
-8984.42, 145.00, -5909.77, 0
-8032.44, 153.92, -5428.38, 0
-10549.18, 140.00, -5374.83, 0
-9659.87, 155.00, -4091.34, 0
-9184.56, 150.00, -5030.14, 0
-9580.15, 145.00, -5172.08, 0
-9561.26, 150.00, -4511.25, 0
-8678.14, 154.25, -4779.39, 0
